"filename", "language", "TypeScript React", "TypeScript", "JavaScript", "GraphQL", "Markdown", "JSON with Comments", "JSON", "YAML", "SCSS", "comment", "blank", "total"
"/Users/kishore/Documents/Github/QuietChat/extension/src/extension/components/userNameEdit/userNameEdit.styles.tsx", "TypeScript React", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 64
"/Users/kishore/Documents/Github/QuietChat/extension/src/extension/components/userNameEdit/userNameEdit.tsx", "TypeScript React", 125, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 133
"/Users/kishore/Documents/Github/QuietChat/extension/src/extension/options/options.tsx", "TypeScript React", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/kishore/Documents/Github/QuietChat/extension/src/extension/popup/offsite/offsite.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 3
"/Users/kishore/Documents/Github/QuietChat/extension/src/extension/popup/offsite/offsite.styles.tsx", "TypeScript React", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"/Users/kishore/Documents/Github/QuietChat/extension/src/extension/popup/offsite/offsite.tsx", "TypeScript React", 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 99
"/Users/kishore/Documents/Github/QuietChat/extension/src/extension/popup/popup.tsx", "TypeScript React", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/kishore/Documents/Github/QuietChat/extension/src/firebase.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/Users/kishore/Documents/Github/QuietChat/extension/src/generated/graphql.tsx", "TypeScript React", 1342, 0, 0, 0, 0, 0, 0, 0, 0, 1, 299, 1642
"/Users/kishore/Documents/Github/QuietChat/extension/src/graphql/comments/mutation/deleteComment.graphql", "GraphQL", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"/Users/kishore/Documents/Github/QuietChat/extension/src/graphql/comments/mutation/insertComment.graphql", "GraphQL", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"/Users/kishore/Documents/Github/QuietChat/extension/src/graphql/comments/mutation/setCommentLike.graphql", "GraphQL", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 1, 25
"/Users/kishore/Documents/Github/QuietChat/extension/src/graphql/comments/query/getCommentLikes.graphql", "GraphQL", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"/Users/kishore/Documents/Github/QuietChat/extension/src/graphql/comments/query/getCommentedUser.graphql", "GraphQL", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"/Users/kishore/Documents/Github/QuietChat/extension/src/graphql/comments/subscriptions/commentLikes.graphql", "GraphQL", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"/Users/kishore/Documents/Github/QuietChat/extension/src/graphql/comments/subscriptions/movieCommentsCount.graphql", "GraphQL", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/kishore/Documents/Github/QuietChat/extension/src/graphql/follow/mutations/toggleFollow.graphql", "GraphQL", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/kishore/Documents/Github/QuietChat/extension/src/graphql/follow/query/amIFollowingThisUser.graphql", "GraphQL", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/kishore/Documents/Github/QuietChat/extension/src/graphql/follow/query/getFollowers.graphql", "GraphQL", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 1, 18
"/Users/kishore/Documents/Github/QuietChat/extension/src/graphql/follow/query/getUserFollowStats.graphql", "GraphQL", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/kishore/Documents/Github/QuietChat/extension/src/graphql/fragments/fullUser.graphql", "GraphQL", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"/Users/kishore/Documents/Github/QuietChat/extension/src/graphql/fragments/movieStats.graphql", "GraphQL", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/kishore/Documents/Github/QuietChat/extension/src/graphql/fragments/replyFragment.graphql", "GraphQL", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"/Users/kishore/Documents/Github/QuietChat/extension/src/graphql/movies/mutations/fetchNewComments.graphql", "GraphQL", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/kishore/Documents/Github/QuietChat/extension/src/graphql/movies/mutations/getCommentsOfTheMovie.graphql", "GraphQL", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 1, 23
"/Users/kishore/Documents/Github/QuietChat/extension/src/graphql/movies/mutations/insertMovie.graphql", "GraphQL", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"/Users/kishore/Documents/Github/QuietChat/extension/src/graphql/movies/mutations/updateMovieTitle.graphql", "GraphQL", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/kishore/Documents/Github/QuietChat/extension/src/graphql/movies/queries/getLikesAndCommentCount.graphql", "GraphQL", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/kishore/Documents/Github/QuietChat/extension/src/graphql/movies/queries/getMovie.graphql", "GraphQL", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
"/Users/kishore/Documents/Github/QuietChat/extension/src/graphql/movies/queries/getMovieFavCount.graphql", "GraphQL", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/kishore/Documents/Github/QuietChat/extension/src/graphql/movies/queries/getMovieLikes.graphql", "GraphQL", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/kishore/Documents/Github/QuietChat/extension/src/graphql/movies/subscription/liksAndCommentCount.graphql", "GraphQL", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/kishore/Documents/Github/QuietChat/extension/src/graphql/replies/mutation/deleteReply.graphql", "GraphQL", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/kishore/Documents/Github/QuietChat/extension/src/graphql/replies/mutation/insertReply.graphql", "GraphQL", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/kishore/Documents/Github/QuietChat/extension/src/graphql/replies/mutation/setReplyLike.graphql", "GraphQL", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 1, 22
"/Users/kishore/Documents/Github/QuietChat/extension/src/graphql/replies/query/getIsUserLikedReply.graphql", "GraphQL", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/kishore/Documents/Github/QuietChat/extension/src/graphql/replies/query/getRepliedUser.graphql", "GraphQL", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/kishore/Documents/Github/QuietChat/extension/src/graphql/replies/query/getRepliesOfComment.graphql", "GraphQL", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/kishore/Documents/Github/QuietChat/extension/src/graphql/replies/query/getReplyLikes.graphql", "GraphQL", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/kishore/Documents/Github/QuietChat/extension/src/graphql/users/mutations/addMovieIdToUserWatchList.graphql", "GraphQL", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/kishore/Documents/Github/QuietChat/extension/src/graphql/users/mutations/createUser.graphql", "GraphQL", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"/Users/kishore/Documents/Github/QuietChat/extension/src/graphql/users/mutations/deleteUser.graphql", "GraphQL", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
